PLAYER,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,Season,Team,GW18,GW19,GW20,GW21
Clint Boling,,,,,,,,,,,,,P,,,,,15,CIN,,,,
Vontaze Burfict,IR,IR,IR,IR,IR,IR,,,P,P,P,P,,P,P,,,15,CIN,,,,
Andy Dalton,,,,,,,,,,,P,,,O,O,O,O,15,CIN,,,,
Darqueze Dennard,P,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,15,CIN,,,,
Carlos Dunlap,P,,,,,,,Q,,P,,,,,,P,,15,CIN,,,,
Tyler Eifert,,,,,,,,,,,P,D,P,O,O,P,,15,CIN,,,,
Jake Fisher,,,,,,,,,,,,,D,O,P,,,15,CIN,,,,
Wallace Gilberry,,,P,,Q,,,,,,,,,,,,,15,CIN,,,,
A.J. Green,,,P,,,,,,,,,,,,,,,15,CIN,,,,
Leon Hall,P,,,,,Q,Q,,,,,Q,Q,P,,,P,15,CIN,,,,
Marcus Hardison,O,O,D,Q,,,,,,,,,,,,,,15,CIN,,,,
Ryan Hewitt,,,,,,,,,,,,,P,,,O,O,15,CIN,,,,
Jeremy Hill,,,,,P,,,,,,,,,,,,,15,CIN,,,,
George Iloka,,Q,,D,Q,,,,,,,Q,Q,O,D,P,,15,CIN,,,,
Michael Johnson,P,,,,,,,,,D,,,,P,,,,15,CIN,,,,
Adam Jones,,,,Q,P,P,,,,D,Q,Q,D,P,,,,15,CIN,,,,
Marvin Jones,,,,,,P,,,,,P,,,,,P,,15,CIN,,,,
Dre Kirkpatrick,,P,,P,,P,,,,,P,P,P,P,,,,15,CIN,,,,
Emmanuel Lamur,P,,,,,,,,,,,P,,,P,,IR,15,CIN,,,,
Chris Lewis-Harris,,,,,,,,,,,,D,,,,,,15,CIN,,,,
Rey Maualuga,,,,,,,,Q,P,,,,,,,,,15,CIN,,,,
Reggie Nelson,P,P,P,,P,,,,,,,,,,,,,15,CIN,,,,
Cedric Ogbuehi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,15,CIN,,,,
Sean Porter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,15,CIN,,,,
Vincent Rey,,,,,,,,,,,,,,,P,,,15,CIN,,,,
Josh Shaw,Q,Q,,,,,,,,,,,P,,,,,15,CIN,,,,
Pat Sims,,,O,P,,,,,,D,Q,,,,,,,15,CIN,,,,
Andre Smith,,,P,P,,P,,O,O,P,P,P,,,,,,15,CIN,,,,
Brandon Tate,,,,,,P,,,,,,,,,,,,15,CIN,,,,
Brandon Thompson,,,,,,,,,,,,,,,,,IR,15,CIN,,,,
Andrew Whitworth,P,,P,,,,,,,,,,,P,,,,15,CIN,,,,
Shawn Williams,,,,,,,,,,P,P,,,,,,,15,CIN,,,,
James Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,15,CIN,,,,
Kevin Zeitler,,,,,,P,,,P,,,,,,,,,15,CIN,,,,
Giovani Bernard,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,16,CIN,,,,
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,16,CIN,,,,
Clint Boling,,,,,Q,,,,,,,,,,IR,IR,,16,CIN,,,,
Chykie Brown,,,,,,,,,,,,IR,IR,IR,IR,IR,,16,CIN,,,,
Vontaze Burfict,,,,,,,,,,,,,,,O,D,,16,CIN,,,,
Darqueze Dennard,D,,Q,,,,,,,,,,,,,,,16,CIN,,,,
Tyler Eifert,O,O,D,D,O,O,Q,,,,,,,,IR,IR,,16,CIN,,,,
Jake Fisher,,,,,Q,,,,,,,,,,,,,16,CIN,,,,
Wallace Gilberry,,,Q,,,,,,,Q,,O,O,D,,,,16,CIN,,,,
A.J. Green,,,,,,,,,,,O,O,O,D,IR,O,,16,CIN,,,,
Marcus Hardison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,16,CIN,,,,
Clark Harris,,,,,,,,,,,Q,D,Q,Q,,,,16,CIN,,,,
Jeremy Hill,,,,,,,,,,,,,,,Q,Q,,16,CIN,,,,
William Jackson III,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,16,CIN,,,,
Michael Johnson,,,,,,,,,Q,,,,,,Q,,,16,CIN,,,,
Dre Kirkpatrick,,,,D,,,,,,,,,,,,,,16,CIN,,,,
Tyler Kroft,,,,,,,,,,,,,,,O,D,,16,CIN,,,,
Rey Maualuga,,,,,,,,,O,,,,,,,,,16,CIN,,,,
Cedric Ogbuehi,,,,,,,,,,,,,,,,IR,,16,CIN,,,,
Cedric Peerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,16,CIN,,,,
Pat Sims,,Q,,,,,,,,,,,,,,,,16,CIN,,,,
Derron Smith,,,,Q,,,,,,,Q,O,O,Q,,,,16,CIN,,,,
Brandon Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,16,CIN,,,,
C.J. Uzomah,,,,,,,,,,D,D,D,O,Q,,,,16,CIN,,,,
Shawn Williams,,,,,,,,,,,D,,,,,,,16,CIN,,,,
Eric Winston,,,Q,,,,,,,,,,,,,,,16,CIN,,,,
Geno Atkins,,,,,,,,,,,,,Q,,,,,17,CIN,,,,
Tyler Boyd,,,,,,O,O,O,,,,,,,,,,17,CIN,,,,
Randy Bullock,,,,,,,,Q,Q,,,,,,,,,17,CIN,,,,
Vontaze Burfict,,,,,,,,,,,,,O,O,,D,,17,CIN,,,,
Tra Carson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Cody Core,,,,,,,O,,,,,,,,,,,17,CIN,,,,
Darqueze Dennard,,,,,,,,,,,Q,,Q,,,,,17,CIN,,,,
Jeff Driskel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Tyler Eifert,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Jordan Evans,,,,O,Q,,,,,,,,,,,,,17,CIN,,,,
Jake Fisher,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Ryan Hewitt,,,,,O,O,O,,,,,,,,,,,17,CIN,,,,
Jeremy Hill,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Trey Hopkins,,O,O,Q,,,,,,,,,,,,,,17,CIN,,,,
George Iloka,,,,,,,,,,,,,,,Q,,,17,CIN,,,,
William Jackson III,,,,,,,,,,Q,,,,,,Q,,17,CIN,,,,
Michael Johnson,,O,Q,,,,,Q,,,,Q,,,,,,17,CIN,,,,
T.J. Johnson,,,,,,,,,,,,,,D,IR,IR,,17,CIN,,,,
Adam Jones,,,,,,D,,,,O,,,O,IR,IR,IR,,17,CIN,,,,
Dre Kirkpatrick,,,,,,,,,,,,,O,O,,,,17,CIN,,,,
Jake Kumerow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Brandon LaFell,,,,,,,,,,Q,,,,,,,,17,CIN,,,,
Kevin Minter,,,,,,,O,O,O,O,,,,O,IR,IR,,17,CIN,,,,
Joe Mixon,,,,,,,,,,,,,O,Q,,Q,,17,CIN,,,,
Cedric Ogbuehi,,,,,,,,,,,,,,,O,O,,17,CIN,,,,
Cedric Peerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Vincent Rey,,,,,,,,,,,O,O,Q,,,,,17,CIN,,,,
John Ross,,Q,O,O,O,Q,,,,,,,IR,IR,IR,IR,,17,CIN,,,,
KeiVarae Russell,,,Q,,,,,,,,,,,,,,,17,CIN,,,,
Mason Schreck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,17,CIN,,,,
Pat Sims,,,,,,,,,O,O,,,,,,,,17,CIN,,,,
Andre Smith,,,,,,,,,,,,,,,IR,IR,,17,CIN,,,,
Derron Smith,,,Q,D,O,Q,,,,,,,,,,,,17,CIN,,,,
C.J. Uzomah,O,Q,,,,,,,,,,,,,,,,17,CIN,,,,
Nick Vigil,,,,,,,,,,,,IR,O,O,O,IR,,17,CIN,,,,
Shawn Williams,O,Q,,,,,,,D,,O,O,O,Q,,,,17,CIN,,,,
Brandon Wilson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,17,CIN,,,,
Matt Barkley,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Brandon Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,,,,,18,CIN,,,,
Giovani Bernard,,,,,O,O,O,O,Q,,,,,,,,,18,CIN,,,,
Tyler Boyd,,,,,,,,,,,,,,,IR,IR,,18,CIN,,,,
Preston Brown,,Q,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Vontaze Burfict,IR,IR,IR,IR,,,,O,O,Q,,,O,O,Q,O,,18,CIN,,,,
Tra Carson,,,IR,IR,IR,IR,IR,IR,,IR,,IR,IR,IR,IR,IR,,18,CIN,,,,
Cethan Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Cody Core,D,D,,,,,,,,,,,,,,,,18,CIN,,,,
Andy Dalton,,,,,,,,,,,,IR,IR,IR,IR,IR,,18,CIN,,,,
Darqueze Dennard,,,,,,,O,O,O,,,,,,,,,18,CIN,,,,
Tyler Eifert,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Jordan Evans,,,,,,,,,,,,,,,IR,IR,,18,CIN,,,,
Jake Fisher,,,,,,,,,,,,IR,IR,IR,IR,IR,,18,CIN,,,,
Ryan Glasgow,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Cordy Glenn,,,,,,,,,,,Q,D,O,Q,,,,18,CIN,,,,
A.J. Green,,,,,,,,,O,D,Q,,IR,IR,IR,IR,,18,CIN,,,,
Davontae Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,18,CIN,,,,
Trayvon Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Ryan Hewitt,IR,IR,,,IR,,,,IR,IR,IR,,,,,,,18,CIN,,,,
William Jackson III,,,,,,Q,,,,,,,,,,,,18,CIN,,,,
Malik Jefferson,,,,,,,,,,,,,,,IR,IR,,18,CIN,,,,
Michael Johnson,,,Q,,,,,,,,,,,Q,,,,18,CIN,,,,
Dre Kirkpatrick,,,,,,,,,,Q,Q,,O,Q,,IR,,18,CIN,,,,
Tyler Kroft,,,,,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Carl Lawson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Javarius Leamon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Josh Malone,,,,,,,,,O,O,O,O,Q,,,,,18,CIN,,,,
Tony McRae,,,,,,,,,,,,O,O,Q,O,O,,18,CIN,,,,
Joe Mixon,,,O,O,,,,,,,,,,,,,,18,CIN,,,,
Cedric Ogbuehi,,,,,,Q,,,,,,,,,,,,18,CIN,,,,
Billy Price,,,O,O,O,O,O,D,,,,,,,,,,18,CIN,,,,
Alex Redmond,,,,,,,,,D,,,,,,,,,18,CIN,,,,
John Ross,,,,,O,Q,,O,,Q,,,,,,,,18,CIN,,,,
KeiVarae Russell,,,,,,,,,,,,,,D,,,,18,CIN,,,,
Mason Schreck,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Rod Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Josh Tupou,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Nick Vigil,,,,,,,O,O,O,O,O,,,,,,,18,CIN,,,,
Adolphus Washington,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,18,CIN,,,,
Christian Westerman,IR,IR,,,,,,,,,,,,,,,,18,CIN,,,,
Shawn Williams,,,,,,,Q,,,,,,,,,,,18,CIN,,,,
Rodney Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Geno Atkins,,,,,,,,,,Q,,,,,,,,19,CIN,,,,
Cethan Carter,,,,,,,,,,,,O,,,,,,19,CIN,,,,
Darqueze Dennard,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,,,,,,Q,,,,19,CIN,,,,
Jeff Driskel,IR,IR,,,,,,,,,,,,,,,,19,CIN,,,,
O'Shea Dugas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Carlos Dunlap,,,,,,O,D,,,,,,,,,,,19,CIN,,,,
Clayton Fejedelem,,Q,,,,,,,,,,,,,,,,19,CIN,,,,
Ryan Glasgow,,,O,O,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Cordy Glenn,O,O,O,O,O,O,O,O,Q,,,,,,,,,19,CIN,,,,
A.J. Green,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,IR,,19,CIN,,,,
Bobby Hart,,,,,,,,,,Q,,,,,,,,19,CIN,,,,
Sam Hubbard,,,,,,,,,,,,,O,,,,,19,CIN,,,,
William Jackson III,,,,,,,O,,,,,,,,,O,,19,CIN,,,,
Michael Jordan,,,Q,,,,,,,,,,,,,,,19,CIN,,,,
Dre Kirkpatrick,,,,,,,O,O,O,O,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Carl Lawson,,,D,D,,,O,O,,,,,,,,,,19,CIN,,,,
John Miller,,,,,,,O,Q,,,,,,,O,,,19,CIN,,,,
Joe Mixon,,Q,,,,,,,,,,,,,,,,19,CIN,,,,
Stanley Morgan Jr.,,,,,,,,,,,Q,,,,,D,,19,CIN,,,,
Darius Phillips,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,19,CIN,,,,
Alex Redmond,,,,,,,,,O,O,,O,IR,IR,IR,IR,,19,CIN,,,,
John Ross,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,19,CIN,,,,
Drew Sample,,,,,,,,,,O,O,O,O,IR,IR,IR,,19,CIN,,,,
Niles Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Andre Smith,,,Q,,,O,O,Q,,,,,,,,,,19,CIN,,,,
Auden Tate,D,,,,,,,,,,Q,,,IR,IR,IR,,19,CIN,,,,
Nick Vigil,,,,,,,,,,,,Q,,,,,,19,CIN,,,,
B.W. Webb,,,O,,,,,,,,,,,,,,,19,CIN,,,,
Jonah Williams,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,19,CIN,,,,
Shawn Williams,,,,,,Q,,,,,,,,,,,,19,CIN,,,,
Trayveon Williams,O,Q,,,,,,,,,,,,,,,,19,CIN,,,,
Brandon Wilson,,,,,,,,,,,,,O,IR,IR,IR,,19,CIN,,,,
Renell Wren,,,,,,,,,,,,,,O,IR,IR,,19,CIN,,,,
Kerry Wynn,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,19,CIN,,,,
Mackensie Alexander,,,,D,D,Q,,,C19,,Q,,Q,,,,,20,CIN,,,,
Brandon Allen,,,,,,,,,,,,,,O,,,,20,CIN,,,,
Geno Atkins,O,O,O,O,,,,,O,,,,,IR,IR,IR,,20,CIN,,,,
Markus Bailey,,,,,,,,,,,Q,,,,,,,20,CIN,,,,
Giovani Bernard,,,,,,,,,,,Q,,,,,,,20,CIN,,,,
Amani Bledsoe,,,,,,,,,,,,C19,C19,C19,,,,20,CIN,,,,
Tyler Boyd,,,,,,,,,,,,,,,O,,,20,CIN,,,,
Tony Brown,,,,,,,,,,,,O,IR,IR,IR,,,20,CIN,,,,
Joe Burrow,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
Christian Covington,,,,,,,,,,,,Q,,,,,,20,CIN,,,,
Mike Daniels,,O,Q,O,IR,IR,IR,,,,,,,,,C19,,20,CIN,,,,
Jordan Evans,,,,,,,,,C19,,,,,,O,,,20,CIN,,,,
B.J. Finney,,,,,,,,,,,C19,Q,,,O,O,,20,CIN,,,,
Clark Harris,,,,,,,,,,,,Q,,,,,,20,CIN,,,,
Bobby Hart,,,,,,,,O,O,,,,,,,,,20,CIN,,,,
Tee Higgins,,,,,,,,,,,,,Q,,,,,20,CIN,,,,
Trey Hopkins,,,,,,,,O,,,,,,,,,,20,CIN,,,,
Sam Hubbard,,,,,,IR,IR,IR,IR,,,,,,,,,20,CIN,,,,
Margus Hunt,,,,,,,,,C19,Q,,,,,,,,20,CIN,,,,
William Jackson III,,,,,,,O,,,,,,,,,O,,20,CIN,,,,
Fred Johnson,,,,,,,,,C19,Q,,,,,,,,20,CIN,,,,
Joe Mixon,,,,,Q,,O,O,D,O,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
Darius Phillips,,,,,,,,Q,O,,,Q,IR,,,,,20,CIN,,,,
Isaiah Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
D.J. Reader,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
Alex Redmond,,,,,,,,,,Q,,O,,,,,,20,CIN,,,,
John Ross,,,,,D,,Q,D,O,,,,,IR,IR,IR,,20,CIN,,,,
LeShaun Sims,D,,,,,,,,O,,,,,,,,,20,CIN,,,,
Xavier Su'a-Filo,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,20,CIN,,,,
Auden Tate,,,,,,D,,,,,C19,IR,IR,,,,,20,CIN,,,,
Mike Thomas,,,,,,,,,,Q,D,Q,,,,,,20,CIN,,,,
Josh Tupou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
C.J. Uzomah,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
Trae Waynes,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR,IR,IR,IR,,20,CIN,,,,
Jonah Williams,,,,,,,,O,Q,,,,,,,,,20,CIN,,,,
Shawn Williams,O,O,Q,,,,Q,,,,,,,,,,,20,CIN,,,,
Xavier Williams,,,,,,,,,,Q,,Q,,,,,,20,CIN,,,,
Brandon Wilson,,,,,,,,,,,,Q,Q,Q,,,,20,CIN,,,,
Logan Wilson,,,,O,,,,,,,,,,O,O,O,,20,CIN,,,,
Hakeem Adeniji,,,,,,,,,,,,,,,Q,,,21,CIN,,,,
Ricardo Allen,,O,IR,IR,IR,,,,,,,,,,,,,21,CIN,,,,
Chidobe Awuzie,,,,D,,,,,,,,,Q,,,,,21,CIN,,,,
Joe Bachie,,,,,,,,,,,,,,IR,IR,IR,IR,21,CIN,IR,IR,IR,IR
Markus Bailey,,Q,,,,,,,,,,,O,Q,,,,21,CIN,,,,
Jessie Bates III,,,,O,,,,,,,,,,,,,,21,CIN,,,,
Joe Burrow,,,,,,,,,,,,,,,,,O,21,CIN,,,,
Jackson Carman,,,,,,Q,,,,,,,,,,,,21,CIN,,,Q,
Jalen Davis,,,,,,,Q,,,,,,,,,O,O,21,CIN,,,,
Akeem Davis-Gaither,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,21,CIN,,IR,IR,IR
Chris Evans,,,,,,,,O,Q,,,D,O,,,,,21,CIN,,,,
Jordan Evans,,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,21,CIN,,IR,IR,IR
Elliott Fry,,,,,,,,,,,,,,,,,,21,CIN,IR,IR,IR,
Vernon Hargreaves III,,,,,,,,,,,,,,O,,,,21,CIN,,,,
Tee Higgins,,,D,O,,,,,,,,,Q,,,,,21,CIN,,,,
Trey Hill,,,,,,,,,,,,,,Q,,,,21,CIN,,,,
Trey Hopkins,,,,,Q,,,,,,,Q,,,,,,21,CIN,,,,
Sam Hubbard,,,,,,,,,,,,,,,,,Q,21,CIN,,,,
Fred Johnson,,,,,,,,,,,,,,,Q,,,21,CIN,,,,
Khalid Kareem,IR,IR,IR,IR,IR,IR,,,,,,D,,,Q,,,21,CIN,,,,
Joe Mixon,,,,,Q,Q,,,,,,,Q,,,,,21,CIN,,,,
Stanley Morgan Jr.,,,,,,,,,,,,,,,,,,21,CIN,Q,D,Q,
Thaddeus Moss,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,21,CIN,,,,
Larry Ogunjobi,,,,,Q,,,,,,,,,,,,,21,CIN,,IR,IR,IR
Joseph Ossai,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,21,CIN,IR,IR,IR,IR
Darius Phillips,,Q,,,,,,,,,,,,IR,IR,IR,IR,21,CIN,IR,IR,IR,IR
Isaiah Prince,,,,,,,,,,,,,,O,,,,21,CIN,,,,
D.J. Reader,,,,,,,,,,,,,,,,,O,21,CIN,,,,
Riley Reiff,,,,,,,,,,,,Q,,IR,IR,IR,IR,21,CIN,IR,IR,IR,IR
Cameron Sample,,,,,,,,,Q,,,,,,,O,O,21,CIN,,D,Q,
Mason Schreck,,,,,,,,,,,,,,,,,IR,21,CIN,IR,IR,IR,IR
Tyler Shelvin,,,,,,,Q,,,O,,,O,,,,,21,CIN,,,,
D'Ante Smith,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,,,,,21,CIN,,,,
Xavier Su'a-Filo,,,D,D,,,,,IR,,,IR,IR,IR,IR,IR,,21,CIN,,,,
Auden Tate,,,,,,,,Q,Q,Q,D,,,IR,IR,IR,IR,21,CIN,IR,,,
Michael Thomas,,,,,,,,,,,,D,,,,,,21,CIN,,,,
Mike Thomas,,,,,D,Q,,,,,,,,,,,,21,CIN,,,,
Josh Tupou,,,,,,,,,,,,,,,,,,21,CIN,,Q,Q,
C.J. Uzomah,,,,,,,,,,,,,,,,,Q,21,CIN,,,Q,
Trae Waynes,O,O,O,,Q,,,,IR,,,,,,,,,21,CIN,,,,
Brandon Wilson,,,,,,,,,,IR,IR,IR,,IR,IR,IR,IR,21,CIN,IR,IR,IR,IR
Logan Wilson,,,,,,,,,,,,,O,O,O,,,21,CIN,,,,
Tycen Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,CIN,,,,
Eli Apple,,,,,,,,D,,,,,,,,Q,,22,CIN,,,,
Devin Asiasi,O,Q,,,Q,,,,,,,,,,,,,22,CIN,,,,
Chidobe Awuzie,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,CIN,IR,IR,,
Joe Bachie,,,,,,,,,,,Q,,,,,,,22,CIN,,,,
Tyler Boyd,,,,,,,,,,,,,,Q,,,,22,CIN,,,,
Ben Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,CIN,IR,IR,,
Alex Cappa,,,,,,,,,,,,,,,,,O,22,CIN,O,O,,
Ja'Marr Chase,,,,,,,,O,O,O,Q,Q,,,,,,22,CIN,,,,
La'el Collins,,,,Q,,,,,Q,,,,,,,IR,IR,22,CIN,IR,IR,,
Jalen Davis,,,,,,,,,,,,,,D,Q,,,22,CIN,,,,
Chris Evans,,,,,,,,,,Q,,,,,,,,22,CIN,,,,
Tre Flowers,,,,,,,,,Q,Q,,,,,,,,22,CIN,D,,,
Jeff Gunter,,,,,,,O,,,,,,,,,,,22,CIN,,,,
Clark Harris,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,CIN,IR,IR,,
Trey Hendrickson,,,,,,,,,,,,,,O,,,,22,CIN,,,,
Tee Higgins,,Q,,,Q,Q,,,,,,,,Q,,,,22,CIN,,,,
Daxton Hill,,,,,,,,,,O,Q,,,,,,,22,CIN,,,,
Mike Hilton,,,,,,,,,O,,,,,O,,,,22,CIN,,,,
Sam Hubbard,,,,,,,,,,,,,,,O,,,22,CIN,,,,
Hayden Hurst,,,,,Q,Q,,,,,,,O,O,O,,,22,CIN,,,,
Khalid Kareem,IR,IR,IR,IR,IR,,,,,,,,,,,,,22,CIN,,,,
Joe Mixon,,,,,,,,,,,O,Q,,,,,,22,CIN,,,,
Stanley Morgan Jr.,,,,,,,D,O,,,,,,,,,,22,CIN,,,,
Desmond Noel,,,,,,,,,,,,,,,IR,IR,IR,22,CIN,IR,IR,,
Germaine Pratt,,,,Q,,,,,,,,,,,,,,22,CIN,,,,
Isaiah Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,22,CIN,,,,
D.J. Reader,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,22,CIN,,,,
Drew Sample,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,CIN,IR,IR,,
Trent Taylor,Q,,,,,,,,,,,,,Q,,,,22,CIN,,,,
Cam Taylor-Britt,IR,IR,IR,IR,IR,,,,,,,,,,Q,,,22,CIN,,,,
Jay Tufele,,,,,,,,,,,,,,,Q,,,22,CIN,,,,
Josh Tupou,,Q,,,,,O,O,O,O,Q,,,,,,,22,CIN,,,,
Mitchell Wilcox,Q,,,,,,,,,,,,,,,,,22,CIN,,,,
Jonah Williams,,,,,,Q,,,,,,,,,,,,22,CIN,O,O,,
Logan Wilson,,,,,,,O,,,,,Q,,,,,,22,CIN,,,,
Tycen Anderson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,CIN,,,,
Chidobe Awuzie,,,,,Q,Q,,,,,,,,,,,Q,23,CIN,,,,
Joe Bachie,,,,,,,,,,,,,,Q,,,,23,CIN,,,,
Markus Bailey,,Q,,,,,,,,,,,,,,,,23,CIN,,,,
Tyler Boyd,,,,,,,,,,,,,Q,,,,,23,CIN,,,,
Chase Brown,,,,,,,IR,IR,IR,IR,Q,,,,,,,23,CIN,,,,
Joe Burrow,,,Q,,,,,,,,IR,IR,IR,IR,IR,IR,IR,23,CIN,,,,
Jackson Carman,,,,,,,,,,,,,,Q,,,,23,CIN,,,,
Ja'Marr Chase,,,,,,,,,Q,,,,,,O,Q,,23,CIN,,,,
Devin Cochran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,CIN,,,,
Jalen Davis,,,,,,,,,,,,,,,,Q,Q,23,CIN,,,,
Akeem Davis-Gaither,,,,Q,O,O,O,Q,,,,,,,,,,23,CIN,,,,
Chris Evans,,Q,,,,,,,,,,,,,,,,23,CIN,,,,
Devin Harper,,,,,,Q,,,,,,,,,,,,23,CIN,,,,
Trey Hendrickson,,,,,Q,,,,,,,,,,,,,23,CIN,,,,
Tee Higgins,,,,,Q,Q,,,O,O,O,,,,,,D,23,CIN,,,,
Sam Hubbard,,,,,,,,,O,O,,,,,,,,23,CIN,,,,
Andrei Iosivas,,,,,,,,,,O,,,,,,,,23,CIN,,,,
